2016-04-30 15:40:18 [scrapy] INFO: Scrapy 1.0.5 started (bot: fuli_spiders)
2016-04-30 15:40:18 [scrapy] INFO: Optional features available: ssl, http11
2016-04-30 15:40:18 [scrapy] INFO: Overridden settings: {'NEWSPIDER_MODULE': 'fuli_spiders.spiders', 'SPIDER_MODULES': ['fuli_spiders.spiders'], 'LOG_FILE': 'fuli_spiders.log', 'LOG_LEVEL': 'INFO', 'BOT_NAME': 'fuli_spiders'}
2016-04-30 15:40:18 [scrapy] INFO: Enabled extensions: CloseSpider, TelnetConsole, LogStats, CoreStats, SpiderState
2016-04-30 15:40:18 [scrapy] INFO: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, MetaRefreshMiddleware, HttpCompressionMiddleware, RedirectMiddleware, CookiesMiddleware, ChunkedTransferMiddleware, DownloaderStats
2016-04-30 15:40:18 [scrapy] INFO: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2016-04-30 15:40:18 [scrapy] INFO: Enabled item pipelines: 
2016-04-30 15:40:18 [scrapy] INFO: Spider opened
2016-04-30 15:40:18 [scrapy] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2016-04-30 15:40:38 [scrapy] INFO: Closing spider (finished)
2016-04-30 15:40:38 [scrapy] INFO: Dumping Scrapy stats:
{'downloader/request_bytes': 34338,
 'downloader/request_count': 108,
 'downloader/request_method_count/GET': 108,
 'downloader/response_bytes': 1856545,
 'downloader/response_count': 108,
 'downloader/response_status_count/200': 108,
 'finish_reason': 'finished',
 'finish_time': datetime.datetime(2016, 4, 30, 7, 40, 38, 948835),
 'log_count/ERROR': 1,
 'log_count/INFO': 7,
 'request_depth_max': 107,
 'response_received_count': 108,
 'scheduler/dequeued': 108,
 'scheduler/dequeued/memory': 108,
 'scheduler/enqueued': 108,
 'scheduler/enqueued/memory': 108,
 'spider_exceptions/IndexError': 1,
 'start_time': datetime.datetime(2016, 4, 30, 7, 40, 18, 993820)}
2016-04-30 15:40:38 [scrapy] INFO: Spider closed (finished)
2016-04-30 15:41:07 [scrapy] INFO: Scrapy 1.0.5 started (bot: fuli_spiders)
2016-04-30 15:41:07 [scrapy] INFO: Optional features available: ssl, http11
2016-04-30 15:41:07 [scrapy] INFO: Overridden settings: {'NEWSPIDER_MODULE': 'fuli_spiders.spiders', 'SPIDER_MODULES': ['fuli_spiders.spiders'], 'LOG_FILE': 'fuli_spiders.log', 'BOT_NAME': 'fuli_spiders'}
2016-04-30 15:41:07 [scrapy] INFO: Enabled extensions: CloseSpider, TelnetConsole, LogStats, CoreStats, SpiderState
2016-04-30 15:41:07 [scrapy] INFO: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, MetaRefreshMiddleware, HttpCompressionMiddleware, RedirectMiddleware, CookiesMiddleware, ChunkedTransferMiddleware, DownloaderStats
2016-04-30 15:41:07 [scrapy] INFO: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2016-04-30 15:41:07 [scrapy] INFO: Enabled item pipelines: 
2016-04-30 15:41:07 [scrapy] INFO: Spider opened
2016-04-30 15:41:07 [scrapy] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2016-04-30 15:41:07 [scrapy] DEBUG: Telnet console listening on 127.0.0.1:6023
2016-04-30 15:41:07 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/> (referer: None)
2016-04-30 15:41:08 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/2> (referer: http://www.dsqnw.com/)
2016-04-30 15:41:08 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/3> (referer: http://www.dsqnw.com/page/2)
2016-04-30 15:41:08 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/4> (referer: http://www.dsqnw.com/page/3)
2016-04-30 15:41:08 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/5> (referer: http://www.dsqnw.com/page/4)
2016-04-30 15:41:08 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/6> (referer: http://www.dsqnw.com/page/5)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/7> (referer: http://www.dsqnw.com/page/6)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/8> (referer: http://www.dsqnw.com/page/7)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/9> (referer: http://www.dsqnw.com/page/8)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/10> (referer: http://www.dsqnw.com/page/9)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/11> (referer: http://www.dsqnw.com/page/10)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/12> (referer: http://www.dsqnw.com/page/11)
2016-04-30 15:41:09 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/13> (referer: http://www.dsqnw.com/page/12)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/14> (referer: http://www.dsqnw.com/page/13)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/15> (referer: http://www.dsqnw.com/page/14)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/16> (referer: http://www.dsqnw.com/page/15)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/17> (referer: http://www.dsqnw.com/page/16)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/18> (referer: http://www.dsqnw.com/page/17)
2016-04-30 15:41:10 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/19> (referer: http://www.dsqnw.com/page/18)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/20> (referer: http://www.dsqnw.com/page/19)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/21> (referer: http://www.dsqnw.com/page/20)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/22> (referer: http://www.dsqnw.com/page/21)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/23> (referer: http://www.dsqnw.com/page/22)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/24> (referer: http://www.dsqnw.com/page/23)
2016-04-30 15:41:11 [scrapy] DEBUG: Crawled (200) <GET http://www.dsqnw.com/page/25> (referer: http://www.dsqnw.com/page/24)
